,ID,NAME,CATEGORY,ADDRESS_2,ADDRESS_1,LNG,LAT,REVIEW_COUNT,STAR_MEAN
188,13320948,린비아토모텔,모텔,대구 동구 검사동 985-23,대구 동구 검사동,128.65011,35.8859436,19,3.61
189,1425698769,조이,모텔,황금동 850-4,대구 수성구 황금동,128.6231583,35.8416292,25,4.28
190,1936426279,갤러리호텔,모텔,두산동 91-1,대구 수성구 두산동,128.6213722,35.8385788,22,3.52
191,11659083,아리아나호텔,호텔,두산동 199-1,대구 수성구 두산동,128.6229,35.8328082,57,4.32
192,1213111767,SB호텔,모텔,황금동 859,대구 수성구 황금동,128.622579,35.8414511,11,4.45
193,1635719274,HOTEL 에비앙,모텔,황금동 859-2,대구 수성구 황금동,128.6227378,35.8413528,18,3.81
194,16159220,로미오앤줄리엣,모텔,두산동 95-1,대구 수성구 두산동,128.6222946,35.8394168,25,4.26
195,32062517,폭스모텔,모텔,두산동 89-3,대구 수성구 두산동,128.621588,35.83809,12,4.58
196,37117560,엠투고모텔,모텔,두산동 101,대구 수성구 두산동,128.6218583,35.8375781,23,3.96
197,1805124394,갤러리호텔,모텔,효목동 1010,대구 동구 효목동,128.6511537,35.8817409,26,4.13
198,463520741,조양회관,문화재,대구 동구 효목동,대구 동구 효목동,128.6544497,35.8768782,11,4.41
199,13416760,비지니스모텔,모텔,대구 동구 효목동 1007,대구 동구 효목동,128.6499,35.8815649,24,4.42
200,16165581,투스테이호텔,모텔,효목동 1087,대구 동구 효목동,128.6524363,35.8808774,12,4.54
201,1844324577,제이비관광호텔,호텔,상매동 506-6,대구 동구 상매동,128.70586,35.8885625,33,4.38
202,332134780,BOUTIQUE HOTEL 2STAY,모텔,효목동 1087,대구 동구 효목동,128.6526671,35.8808184,47,4.36
203,1345927927,피크니크호텔,호텔,두산동 618,대구 수성구 두산동,128.6244332,35.8278484,39,4.01
204,16155077,수성파크랜드,"레저,테마",상동 715,대구 수성구 상동,128.6135176,35.8264637,126,4.37
205,16065574,SG호텔,호텔,효목동 1166,대구 동구 효목동,128.6551921,35.878666,24,3.96
206,13332195,팔레스모텔,모텔,평리4동 1368-5,대구 서구 평리4동,128.555866,35.86837,17,4.15
207,20527162,듀오모텔,모텔,태전동 789-6,대구 북구 태전동,128.5477532,35.9145842,12,4.04
208,35840072,c1모텔,모텔,금호동 813,대구 북구 금호동,128.5184324,35.8949245,23,4.57
209,31794723,비앤비모텔,모텔,감삼동 599-75,대구 달서구 감삼동,128.5332875,35.8492404,21,4.67
210,36939881,스타,모텔,성당동 219-1,대구 달서구 성당동,128.5567829,35.8382617,27,4.17
211,454137390,호텔 러블리,모텔,본리동 376-3,대구 달서구 본리동,128.5378687,35.8406831,14,4.57
212,16367699,두류공원성당휴게소,부속시설,성당동 195-1,대구 달서구 성당동,128.5615956,35.8446143,159,4.25
213,101272279,호텔야자 대구서부정류장점,모텔,성당동 220-12,대구 달서구 성당동,128.5576095,35.8382787,17,4.47
214,32059451,K2모텔,모텔,감삼동 599-73,대구 달서구 감삼동,128.5326258,35.8489535,12,3.88
215,1550947382,체리쉬호텔,모텔,감삼동 172-1,대구 달서구 감삼동,128.5379457,35.8470595,30,4.22
216,20274148,모텔앤,모텔,대명동 1593-3,대구 남구 대명동,128.5608682,35.8387231,24,3.96
217,35457420,대구광역시관광협회,"협회,단체",두류동 588,대구 달서구 두류동,128.5574692,35.8508678,15,3.97
