field_1,wkt_geom,field_1_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"5081",Point (128.60620159999999146 35.9036603999999997),"26916","7235145773",#0d0887,"3973334.683","464464.6805","4","128.6062016","35.9036604",,,POINT (464464.68051461445 3973334.6833560118)
"5082",Point (128.60599350000001095 35.90445840000000288),"26918","7235145783",#0d0887,"3973423.268","464446.259","4","128.6059935","35.9044584",,,POINT (464446.2589682752 3973423.2681705733)
"5083",Point (128.60645180000000209 35.90377060000000142),"26920","7235145774",#0d0887,"3973346.815","464487.3072","4","128.6064518","35.9037706",,,POINT (464487.3072421588 3973346.815069156)
"5084",Point (128.60623849999998924 35.90456739999999769),"26922","7235145782",#0d0887,"3973435.269","464468.4157","4","128.6062385","35.9045674",,,POINT (464468.4157287656 3973435.2686312296)
"5085",Point (128.60733310000000529 35.90338959999999702),"26923","7235145722",#0d0887,"3973304.237","464566.6639","3","128.6073331","35.9033896",,,POINT (464566.6638548646 3973304.236989635)
"5086",Point (128.60670070000000464 35.90387880000000109),"26924","7235145775",#0d0887,"3973358.725","464509.8157","4","128.6067007","35.9038788",,,POINT (464509.81570525153 3973358.7254850203)
"5087",Point (128.60647449999999026 35.90467249999999666),"26925","7235145781",#0d0887,"3973446.84","464489.7586","4","128.6064745","35.9046725",,,POINT (464489.758556534 3973446.8398551354)
"5088",Point (128.60673489999999219 35.90478800000000348),"26926","7235145780",#0d0887,"3973459.556","464513.3077","4","128.6067349","35.904788",,,POINT (464513.3077420438 3973459.555769761)
"5089",Point (128.60693599999999037 35.90398110000000287),"26927","7235145776",#0d0887,"3973369.987","464531.0942","4","128.606936","35.9039811",,,POINT (464531.09424560564 3973369.986504692)
"5090",Point (128.60719380000000456 35.90409449999999936),"26928","7235145769",#0d0887,"3973382.471","464554.408","4","128.6071938","35.9040945",,,POINT (464554.40802033327 3973382.470553957)
"5092",Point (128.60701169999998683 35.90436960000000255),"26932","7235145795",#0d0887,"3973413.049","464538.0985","3","128.6070117","35.9043696",,,POINT (464538.09854163334 3973413.048984184)
"5093",Point (128.60698300000001382 35.90489159999999913),"26935","7235145799",#0d0887,"3973470.956","464535.7416","3","128.606983","35.9048916",,,POINT (464535.741642316 3973470.9563390254)
"5094",Point (128.60671880000001011 35.90528789999999759),"26936","7235145797",#0d0887,"3973515.007","464512.0781","1","128.6067188","35.9052879",,,POINT (464512.07812802825 3973515.0073672254)
"5107",Point (128.57534860000001231 35.888352900000001),"27103","7592224500",#0d0887,"3971648.534","461673.1944","3","128.5753486","35.8883529",,,POINT (461673.19442877977 3971648.5338708307)
"5109",Point (128.58307769999998982 35.89406069999999715),"27105","7592224521",#0d0887,"3972278.603","462373.487","3","128.5830777","35.8940607",,,POINT (462373.4870231745 3972278.6027998347)
